"","Title","Rating_FA","Year","Poster","Url","Rating_IMDB","URL_IMDB","Acty_Date"
"1","Aladdin",7.4,"1992","https://pics.filmaffinity.com/aladdin-819103562-msmall.jpg","https://www.filmaffinity.com/es/film800220.html","8","https://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_2",2019-11-02
"2","Aladdin",7.4,"2010","https://pics.filmaffinity.com/aladdin-819103562-msmall.jpg","https://www.filmaffinity.com/es/film800220.html","8","https://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_2",2019-11-02
"3","Aladdin",7.4,"2010","https://pics.filmaffinity.com/aladdin-819103562-msmall.jpg","https://www.filmaffinity.com/es/film800220.html","8","https://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_2",2019-11-02
"4","Camar칩n: Flamenco y revoluci칩n",7.3,"2010","https://pics.filmaffinity.com/camaron_flamenco_y_revolucion-137112610-msmall.jpg","https://www.filmaffinity.com/es/film818696.html","7.3","https://www.imdb.com/title/tt0400051/?ref_=fn_tt_tt_2a",2019-11-02
"5","Captain Fantastic",7.5,"2010","https://pics.filmaffinity.com/captain_fantastic-545150407-msmall.jpg","https://www.filmaffinity.com/es/film552091.html","8.2","https://www.imdb.com/title/tt3067206/?ref_=fn_tt_tt_2a",2019-11-05
"6","El juego de Ender",5.9,"2010","https://pics.filmaffinity.com/ender_s_game-635930351-msmall.jpg","https://www.filmaffinity.com/es/film283365.html","6.6","https://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1",2019-11-02
"7","El rey le칩n",7.9,"1994","https://pics.filmaffinity.com/the_lion_king-983881776-msmall.jpg","https://www.filmaffinity.com/es/film419029.html",NA,NA,2019-11-02
"8","El se침or de los anillos: El retorno del rey",8.2,"2003","https://pics.filmaffinity.com/the_lord_of_the_rings_the_return_of_the_king-178294596-msmall.jpg","https://www.filmaffinity.com/es/film226427.html",NA,NA,2019-11-02
"9","Harry Potter y la piedra filosofal",6.8,"2010","https://pics.filmaffinity.com/harry_potter_and_the_sorcerer_s_stone-154820574-msmall.jpg","https://www.filmaffinity.com/es/film423821.html","7.6","https://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1",2019-11-02
"10","Jack Ryan, de Tom Clancy (Serie de TV)",7,"2010","https://pics.filmaffinity.com/jack_ryan_tv_series-348234630-msmall.jpg","https://www.filmaffinity.com/es/film726898.html","8.2","https://www.imdb.com/title/tt5057054/?ref_=fn_tt_tt_1",2019-11-03
"11","Jack Ryan, de Tom Clancy (Serie de TV)",7,"2010","https://pics.filmaffinity.com/jack_ryan_tv_series-348234630-msmall.jpg","https://www.filmaffinity.com/es/film726898.html","8.2","https://www.imdb.com/title/tt5057054/?ref_=fn_tt_tt_1",2019-11-03
"12","Joker",8.3,"2010","https://pics.filmaffinity.com/joker-790658206-msmall.jpg","https://www.filmaffinity.com/es/film520214.html","8.8","https://www.imdb.com/title/tt7286456/?ref_=fn_tt_tt_1",2019-11-06
"13","Las escalofriantes aventuras de Sabrina: Parte 2 (Serie de TV)",6.6,"2010","https://pics.filmaffinity.com/chilling_adventures_of_sabrina_part_2_tv_series-610641447-msmall.jpg","https://www.filmaffinity.com/es/film704430.html","7.7","https://www.imdb.com/title/tt0047437/?ref_=fn_tt_tt_2",2019-11-02
"14","Ocho apellidos vascos",6.1,"2010","https://pics.filmaffinity.com/ocho_apellidos_vascos-836127633-msmall.jpg","https://www.filmaffinity.com/es/film162717.html","6.5","https://www.imdb.com/title/tt2955316/?ref_=fn_tt_tt_1",2019-11-03
"15","Parque Jur硬ico (Jurassic Park)",7,"2010","https://pics.filmaffinity.com/jurassic_park-187298880-msmall.jpg","https://www.filmaffinity.com/es/film152490.html","8.1","https://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1",2019-11-02
"16","Sabrina",7.5,"1954","https://pics.filmaffinity.com/sabrina-853022018-msmall.jpg","https://www.filmaffinity.com/es/film326992.html",NA,NA,2019-11-02
"17","Shrek",7.7,"2001","https://pics.filmaffinity.com/shrek-903764423-msmall.jpg","https://www.filmaffinity.com/es/film494558.html",NA,NA,2019-11-02
"18","Shrek",7.7,"2010","https://pics.filmaffinity.com/shrek-903764423-msmall.jpg","https://www.filmaffinity.com/es/film494558.html","7.8","https://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1",2019-11-02
"19","Spider-Man: Un nuevo universo",7.7,"2010","https://pics.filmaffinity.com/spider_man_into_the_spider_verse-917347027-msmall.jpg","https://www.filmaffinity.com/es/film773389.html","9.3","https://www.imdb.com/title/tt5807780/?ref_=fn_tt_tt_3",2019-11-06
"20","El se絪r de los anillos: La comunidad del anillo",8,"2010","https://pics.filmaffinity.com/the_lord_of_the_rings_the_fellowship_of_the_ring-952398002-msmall.jpg","https://www.filmaffinity.com/es/film750283.html","7","https://www.imdb.com/title/tt1343330/?ref_=fn_tt_tt_1",2019-11-07
"21","Old Boy",5.3,"2010","https://pics.filmaffinity.com/oldboy_old_boy-260793961-msmall.jpg","https://www.filmaffinity.com/es/film930503.html","8.5","https://www.imdb.com/title/tt9587390/?ref_=fn_tt_tt_3",2019-11-07
